Unnamed: 0,name,force,level,mechanic,equipment,primaryMuscles,secondaryMuscles,instructions,category,images,id
10,Alternate Heel Touchers,pull,beginner,isolation,body only,abdominals,,"Berbaringlah di lantai dengan lutut ditekuk dan kaki di lantai sekitar 18-24 inci terpisah. Lengan Anda harus diperpanjang di sisi Anda. Ini akan menjadi posisi awal Anda., Menghancurkan tubuh Anda ke depan dan naik sekitar 3-4 inci ke sisi kanan dan menyentuh tumit kanan Anda saat Anda memegang kontraksi sejenak. Buang napas sambil melakukan gerakan ini., Sekarang kembali perlahan ke posisi awal saat Anda menghirup., Sekarang krisis di atas tubuh Anda ke depan dan naik sekitar 3-4 inci ke sisi kiri dan sentuh tumit kiri Anda saat Anda memegang kontraksi sejenak. Buang napas sambil melakukan gerakan ini dan kemudian kembali ke posisi awal saat Anda menghirup. Sekarang kedua tumit telah disentuh, Itu dianggap 1 pengulangan., Lanjutkan sisi bergantian dengan cara ini sampai semua pengulangan yang ditentukan dilakukan.",strength,"0.jpg, 1.jpg",Alternate_Heel_Touchers
11,Alternate Incline Dumbbell Curl,pull,beginner,isolation,dumbbell,biceps,forearms,"Duduklah di bangku condong dengan dumbbell di setiap tangan dipegang dengan panjang lengan. Kiat: Jaga siku dekat dengan batang tubuh. Ini akan menjadi posisi awal Anda., Sambil memegang stasioner lengan atas, Gulung berat yang tepat ke depan saat mengontrak bisep saat Anda bernafas. Saat Anda melakukannya, Putar tangan sehingga telapak tangan menghadap ke atas. Lanjutkan gerakan sampai bisep Anda sepenuhnya dikontrak dan dumbel berada pada tingkat bahu. Tahan posisi yang dikontrak sebentar saat Anda memeras bisep. Kiat: Hanya lengan yang harus bergerak., Perlahan mulai membawa dumbbell kembali ke posisi awal saat bernafas., Ulangi gerakan dengan tangan kiri. Ini sama dengan satu pengulangan., Lanjutkan bergantian dengan cara ini untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Alternate_Incline_Dumbbell_Curl
12,Alternate Leg Diagonal Bound,push,beginner,compound,body only,quadriceps,"abductors, adductors, calves, glutes, hamstrings","Asumsikan sikap yang nyaman dengan satu kaki sedikit di depan yang lain., Mulailah dengan mendorong dengan kaki depan, Mengemudi lutut yang berlawanan ke depan dan setinggi mungkin sebelum mendarat. Cobalah untuk menutupi jarak sebanyak mungkin ke masing -masing sisi dengan masing -masing terikat., Ini dapat membantu menggunakan garis di tanah untuk mendapatkan jarak dari sisi ke sisi., Ulangi urutan dengan kaki lainnya.",plyometrics,"0.jpg, 1.jpg",Alternate_Leg_Diagonal_Bound
13,Alternating Cable Shoulder Press,push,beginner,compound,cable,shoulders,triceps,"Pindahkan kabel ke bagian bawah menara dan pilih berat yang sesuai., Pegang kabel dan pegang setinggi bahu, Telapak tangan menghadap ke depan. Ini akan menjadi posisi awal Anda., Menjaga kepala dan dada Anda, Perpanjang melalui siku untuk menekan satu sisi langsung ke kepala., Setelah berhenti di atas, Kembali ke posisi awal dan ulangi di sisi yang berlawanan.",strength,"0.jpg, 1.jpg",Alternating_Cable_Shoulder_Press
14,Alternating Deltoid Raise,push,beginner,isolation,dumbbell,shoulders,,"Dalam posisi berdiri, Pegang sepasang halter di sisi Anda., Menjaga siku Anda sedikit bengkok, Angkat beban langsung di depan Anda ke ketinggian bahu, menghindari ayunan atau curang., Kembalikan beban ke sisi Anda., Pada pengulangan berikutnya, Naikkan bobot secara lateral, Meningkatkan mereka ke sisi Anda dengan ketinggian bahu., Kembalikan bobot ke posisi awal dan terus bergantian ke depan dan samping.",strength,"0.jpg, 1.jpg",Alternating_Deltoid_Raise
15,Alternating Floor Press,push,beginner,compound,kettlebells,chest,"abdominals, shoulders, triceps","Berbaringlah di lantai dengan dua kettlebell di sebelah pundak Anda., Posisikan satu di tempat di dada Anda dan kemudian yang lainnya, mencengkeram kettlebell di pegangan dengan telapak tangan menghadap ke depan., Angkat kedua lengan, Sehingga kettlebell ditahan di atas dada Anda. Turunkan satu kettlebell, Membawa ke dada Anda dan memutar pergelangan tangan ke arah kettlebell yang terkunci., Angkat kettlebell dan ulangi di sisi yang berlawanan.",strength,"0.jpg, 1.jpg",Alternating_Floor_Press
16,Alternating Hang Clean,pull,intermediate,compound,kettlebells,hamstrings,"biceps, calves, forearms, glutes, lower back, traps","Tempatkan dua kettlebell di antara kaki Anda. Untuk masuk ke posisi awal, Dorong pantat Anda ke belakang dan lihat lurus ke depan., Bersihkan satu kettlebell di bahu Anda dan pegang ke ketel yang lain dalam posisi gantung. Bersihkan kettlebell ke bahu Anda dengan memanjang melalui kaki dan pinggul saat Anda menarik kettlebell ke arah bahu Anda. Putar pergelangan tangan Anda saat Anda melakukannya., Turunkan kettlebell yang dibersihkan ke posisi gantung dan bersihkan kettlebell alternatif. Mengulang.",strength,"0.jpg, 1.jpg",Alternating_Hang_Clean
17,Alternating Kettlebell Press,push,intermediate,compound,kettlebells,shoulders,triceps,"Bersihkan dua kettlebell ke bahu Anda. Bersihkan kettlebell ke bahu Anda dengan memanjang melalui kaki dan pinggul saat Anda menarik kettlebell ke arah bahu Anda. Putar pergelangan tangan Anda saat Anda melakukannya., Tekan satu langsung di atas kepala dengan memanjang melalui siku, Memutar sehingga telapak tangan menghadap ke depan sambil memegang stasioner kettlebell lainnya., Turunkan kettlebell yang ditekan ke posisi awal dan segera tekan dengan lengan Anda yang lain.",strength,"0.jpg, 1.jpg",Alternating_Kettlebell_Press
18,Alternating Kettlebell Row,pull,intermediate,isolation,kettlebells,middle back,"biceps, lats","Tempatkan dua kettlebell di depan kaki Anda. Tekuk lutut Anda sedikit dan dorong pantat Anda sebanyak mungkin. Saat Anda membungkuk untuk masuk ke posisi awal, ambil kedua kettlebell dengan pegangan., Tarik satu kettlebell dari lantai sambil berpegangan pada kettlebell lainnya. Menarik kembali pisau bahu dari sisi kerja, Saat Anda melenturkan siku, Menggambar kettlebell ke arah perut atau tulang rusuk Anda., Turunkan kettlebell di lengan yang bekerja dan ulangi dengan lengan Anda yang lain.",strength,"0.jpg, 1.jpg",Alternating_Kettlebell_Row
19,Alternating Renegade Row,pull,expert,compound,kettlebells,middle back,"abdominals, biceps, chest, lats, triceps","Tempatkan dua kettlebell di lantai sekitar lebar bahu terpisah. Posisikan diri Anda di jari kaki dan tangan Anda seolah -olah Anda sedang melakukan pushup, dengan tubuh lurus dan diperpanjang. Gunakan pegangan kettlebell untuk mendukung tubuh bagian atas Anda. Anda mungkin perlu memposisikan kaki Anda lebar untuk dukungan., Dorong satu kettlebell ke lantai dan mendayung kettlebell lainnya, menarik kembali pisau bahu sisi kerja saat Anda melenturkan siku, menariknya ke sisi Anda., Kemudian turunkan kettlebell ke lantai dan mulai kettlebell di tangan yang berlawanan. Ulangi untuk beberapa repetisi.",strength,"0.jpg, 1.jpg",Alternating_Renegade_Row
20,Ankle Circles,pull,beginner,isolation,body only,calves,,"Gunakan benda kokoh seperti rak jongkok untuk menahan diri., Angkat kaki kanan di udara (hanya sekitar 2 inci dari lantai) dan lakukan gerakan melingkar dengan jari kaki. Berpura -pura bahwa Anda menggambar lingkaran besar dengannya. Tip: Satu lingkaran sama dengan 1 pengulangan. Bernapaslah secara normal saat Anda melakukan gerakan., Setelah Anda selesai dengan kaki kanan, Kemudian ulangi dengan kaki kiri.",stretching,"0.jpg, 1.jpg",Ankle_Circles
21,Ankle On The Knee,static,beginner,,body only,glutes,,"Dari posisi berbaring, Tekuk lutut Anda dan jaga kaki Anda di lantai., Tempatkan pergelangan kaki Anda satu kaki di lutut yang berlawanan., Pegang paha atau lutut kaki bawah dan tarik kedua kaki Anda ke dalam dada. Santai leher dan bahu Anda. Tahan selama 10-20 detik dan kemudian beralih sisi.",stretching,"0.jpg, 1.jpg",Ankle_On_The_Knee
22,Anterior Tibialis-SMR,static,intermediate,,other,calves,,"Mulailah duduk di tanah dengan kaki ditekuk dan kaki Anda di lantai., Menggunakan roller otot atau rolling pin, Berikan tekanan pada otot -otot di bagian luar tulang kering Anda. Bekerja dari tepat di bawah lutut hingga di atas pergelangan kaki, Berhenti pada titik-titik ketegangan selama 10-30 detik. Ulangi di kaki lainnya.",stretching,"0.jpg, 1.jpg",Anterior_Tibialis-SMR
23,Anti-Gravity Press,push,beginner,compound,barbell,shoulders,"middle back, traps, triceps","Tempatkan bar di tanah di belakang kepala bangku kemiringan., Berbaring di bangku menghadap ke bawah. Dengan pegangan pronasi, Ambil barbel dari lantai. Lenturkan siku, Melakukan ikal terbalik untuk membawa bar di dekat dada Anda. Ini akan menjadi posisi awal Anda., Untuk memulai, Tekan barbel di depan kepala Anda dengan memperpanjang siku Anda. Jaga agar lengan Anda sejajar dengan tanah di seluruh gerakan., Kembali ke posisi awal dan ulangi untuk menyelesaikan set.",strength,"0.jpg, 1.jpg",Anti-Gravity_Press
24,Arm Circles,push,beginner,isolation,body only,shoulders,traps,"Berdiri dan rentangkan lengan Anda lurus ke samping. Lengan harus sejajar dengan lantai dan tegak lurus (sudut 90 derajat) dengan tubuh Anda. Ini akan menjadi posisi awal Anda., Perlahan mulai membuat lingkaran berdiameter sekitar 1 kaki dengan masing -masing lengan terentang. Bernapaslah secara normal saat Anda melakukan gerakan., Lanjutkan gerakan melingkar dari lengan terentang selama sekitar sepuluh detik. Kemudian membalikkan gerakan, pergi ke arah yang berlawanan.",stretching,"0.jpg, 1.jpg",Arm_Circles
25,Arnold Dumbbell Press,push,intermediate,compound,dumbbell,shoulders,triceps,"Duduklah di bangku olahraga dengan dukungan punggung dan pegang dua dumbel di depan Anda pada tingkat dada atas dengan telapak tangan yang menghadap tubuh dan siku Anda tertekuk. Kiat: Lengan Anda harus di sebelah tubuh Anda. Posisi awal akan terlihat seperti bagian yang dikontrak dari ikal dumbbell., Sekarang untuk melakukan gerakan, Angkat halter saat Anda memutar telapak tangan Anda sampai menghadap ke depan., Lanjutkan mengangkat dumbel sampai lengan Anda terulur di atas Anda dalam posisi lengan lurus. Bernapaslah saat Anda melakukan bagian gerakan ini., Setelah jeda kedua di atas, Mulailah menurunkan dumbel ke posisi asli dengan memutar telapak tangan Anda ke arah Anda. Tip: Lengan kiri akan diputar dengan cara berlawanan arah jarum jam sementara yang kanan akan diputar searah jarum jam. Bernapaslah saat Anda melakukan bagian gerakan ini., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Arnold_Dumbbell_Press
26,Around The Worlds,push,intermediate,compound,dumbbell,chest,shoulders,"Berbaringlah di bangku datar memegang dumbbell di masing -masing tangan dengan telapak tangan menghadap ke arah langit -langit. Kiat: Lengan Anda harus sejajar dengan lantai dan di sebelah paha Anda. Untuk menghindari cedera, Pastikan Anda menjaga siku sedikit bengkok. Ini akan menjadi posisi awal Anda., Sekarang pindahkan dumbel dengan membuat setengah lingkaran saat Anda menggantikannya dari posisi awal ke atas kepala. Semua gerakan harus terjadi dengan lengan yang sejajar dengan lantai setiap saat. Bernapaslah saat Anda melakukan bagian gerakan ini., Membalikkan gerakan untuk mengembalikan berat ke posisi awal saat Anda menghembuskan napas.",strength,"0.jpg, 1.jpg",Around_The_Worlds
27,Atlas Stone Trainer,pull,intermediate,compound,other,lower back,"biceps, forearms, glutes, hamstrings, quadriceps","""Pelatih ini efektif untuk mengembangkan kekuatan batu atlas bagi mereka yang tidak memiliki akses ke batu, dan biasanya terbuat dari ujung batang atau pipa berat. "", Mulailah dengan memuat berat yang diinginkan ke batang. Mengangkangi beratnya, membungkus lengan Anda di sekitar pelaksanaan, membungkuk di pinggul., Mulailah dengan menarik beban melewati lutut, memanjang melalui pinggul. Saat beban membersihkan lutut, itu bisa ditebang dengan meletakkannya di paha Anda dan duduk, Memeluknya erat -erat ke dada Anda., Akhiri gerakan dengan memanjang melalui pinggul dan lutut Anda untuk menaikkan berat setinggi mungkin. Berat dapat dikembalikan ke pangkuan atau ke tanah untuk pengulangan yang berurutan.",strongman,"0.jpg, 1.jpg",Atlas_Stone_Trainer
28,Atlas Stones,pull,expert,compound,other,lower back,"abdominals, adductors, biceps, calves, forearms, glutes, hamstrings, middle back, quadriceps, traps","Mulailah dengan batu atlas di antara kaki Anda. Tekuk di pinggul untuk melingkarkan lengan Anda secara vertikal di sekitar batu atlas, Mencoba mendapatkan jari -jari Anda di bawah batu. Banyak batu akan memiliki bagian datar kecil di bagian bawah, yang akan membuat batu lebih mudah dipegang., Menarik batu ke batang tubuh Anda, Berkendara melalui bagian belakang kaki Anda untuk menarik batu dari tanah., Saat batu berlutut, putar dengan duduk mundur, Menarik batu di atas paha Anda., Duduk rendah, Membuat batu tinggi ke dada saat Anda mengubah cengkeraman Anda untuk meraih batu. Berdiri, Berkendara dengan pinggul Anda. Jarak dekat ke platform pemuatan, dan bersandar, Memperluas pinggul untuk mendapatkan batu setinggi mungkin.",strongman,"0.jpg, 1.jpg",Atlas_Stones
29,Axle Deadlift,pull,intermediate,compound,other,lower back,"forearms, glutes, hamstrings, middle back, quadriceps, traps","Dekati bar sehingga berpusat di atas kaki Anda. Kaki Anda harus terpisah dengan lebar pinggul. Tekuk di pinggul untuk menggenggam batang pada lebar bahu, Membiarkan bahu Anda berlarut -larut. Khas, Anda akan menggunakan pegangan over/di bawah., Dengan kaki dan genggaman Anda set, Ambil napas besar dan kemudian turunkan pinggul Anda dan lenturkan lutut sampai tulang kering Anda menghubungi bar. Nantikan dengan kepala Anda, Pertahankan dada dan punggung Anda melengkung, Dan mulailah mengemudi melalui tumit untuk menggerakkan berat ke atas., Setelah bar berlutut, secara agresif menarik bar ke belakang, Menyaing pisau bahu Anda bersama saat Anda mengendarai pinggul ke depan ke bar., Turunkan bar dengan membungkuk di pinggul dan membimbingnya ke lantai.",strongman,"0.jpg, 1.jpg",Axle_Deadlift
30,Back Flyes - With Bands,pull,beginner,compound,bands,shoulders,"middle back, triceps","Jalankan band di sekitar pos stasioner seperti rak jongkok., Raih band dengan pegangan dan mundur sehingga ketegangan di band naik., Perpanjang dan angkat lengan lurus di depan Anda. Kiat: Lengan Anda harus lurus dan sejajar dengan lantai sambil tegak lurus terhadap tubuh Anda. Kaki Anda harus ditanam dengan kuat di lantai yang tersebar pada lebar bahu. Ini akan menjadi posisi awal Anda., Saat Anda menghembuskan napas, Pindahkan tangan Anda ke samping dan punggung. Jaga agar lengan Anda terulur dan sejajar dengan lantai. Lanjutkan gerakan sampai lengan terulur ke sisi Anda., Setelah jeda, Kembali ke posisi asli saat Anda menghirup., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Back_Flyes_-_With_Bands
31,Backward Drag,pull,beginner,compound,other,quadriceps,"calves, forearms, glutes, hamstrings, lower back","Memuat kereta luncur dengan berat yang diinginkan, Melampirkan tali atau tali ke kereta luncur yang bisa Anda pegang., Mulailah latihan dengan bergerak mundur untuk jarak tertentu. Bersandar, Perpanjang melalui kaki untuk langkah -langkah singkat untuk bergerak secepat mungkin.",strongman,"0.jpg, 1.jpg",Backward_Drag
32,Backward Medicine Ball Throw,push,beginner,compound,medicine ball,shoulders,,"Latihan ini paling baik dilakukan dengan pasangan. Jika Anda kekurangan pasangan, Bola dapat dilemparkan dan diambil atau dilemparkan ke dinding., Mulailah berdiri beberapa meter di depan pasangan Anda, keduanya menghadap ke arah yang sama. Mulailah memegang bola di antara kaki Anda., Jongkok dan kemudian dengan kuat membalikkan arah, Datang ke ekstensi penuh dan Anda melemparkan bola ke kepala Anda ke pasangan Anda., Pasangan Anda kemudian dapat menggulung bola kembali kepada Anda. Ulangi untuk jumlah pengulangan yang diinginkan.",plyometrics,"0.jpg, 1.jpg",Backward_Medicine_Ball_Throw
33,Balance Board,,beginner,compound,other,calves,"hamstrings, quadriceps","Tempatkan papan keseimbangan di depan Anda., Berdiri di atasnya dan cobalah untuk menyeimbangkan diri sendiri., Tahan keseimbangan selama yang diinginkan.",strength,"0.jpg, 1.jpg",Balance_Board
34,Ball Leg Curl,pull,beginner,isolation,exercise ball,hamstrings,"calves, glutes","Mulailah di lantai berbaring telentang dengan kaki di atas bola., Posisikan bola sehingga ketika kaki Anda diperpanjang pergelangan kaki Anda berada di atas bola. Ini akan menjadi posisi awal Anda., Angkat pinggul Anda dari tanah, Menjaga berat badan Anda di bahu dan kaki Anda., Lenturkan lutut, menarik bola sedekat mungkin dengan Anda, Mengontrak paha belakang., Setelah jeda singkat, kembali ke posisi awal.",strength,"0.jpg, 1.jpg",Ball_Leg_Curl
35,Band Assisted Pull-Up,,beginner,compound,other,lats,"abdominals, forearms, middle back","CHOKE Band di sekitar tengah bar pullup. Anda dapat menggunakan band yang berbeda untuk memberikan berbagai tingkat bantuan., ""Tarik ujung band ke bawah, dan letakkan satu lutut bengkok ke loop, Memastikan itu tidak akan tergelincir. Ambil pegangan sedang hingga lebar di bar. Ini akan menjadi posisi awal Anda. "", Tarik diri Anda ke atas dengan mengontrak lat saat Anda melenturkan siku. Siku harus didorong ke sisi Anda. Menarik ke depan, Mencoba mendapatkan dagu Anda di atas bar. Hindari gerakan mengayun atau menyentak., Setelah jeda singkat, kembali ke posisi awal.",strength,"0.jpg, 1.jpg",Band_Assisted_Pull-Up
36,Band Good Morning,pull,beginner,compound,bands,hamstrings,"glutes, lower back","Menggunakan pita 41 inci, Berdiri di satu ujung, menyebarkan kaki Anda dalam jumlah kecil. Tekuk di pinggul untuk mengulang ujung band di belakang leher Anda. Ini akan menjadi posisi awal Anda., Menjaga kaki Anda tetap lurus, Perpanjang melalui pinggul untuk datang ke posisi vertikal yang dekat., Pastikan Anda tidak membulatkan punggung saat Anda kembali ke posisi awal.",powerlifting,"0.jpg, 1.jpg",Band_Good_Morning
37,Band Good Morning (Pull Through),pull,beginner,compound,bands,hamstrings,"glutes, lower back","Lingkarkan band di sekitar pos. Berdiri sedikit jauh, Lingkarkan ujung yang berlawanan di sekitar leher. Tangan Anda dapat membantu menahan band., Mulailah dengan membungkuk di pinggul, Mendapatkan pantat Anda kembali sejauh mungkin. Jaga agar punggung Anda tetap rata dan menekuk ke depan hingga sekitar 90 derajat. Lutut Anda seharusnya hanya sedikit ditekuk., Kembali ke posisi awal mengemudi dengan pinggul untuk kembali ke posisi berdiri.",powerlifting,"0.jpg, 1.jpg",Band_Good_Morning_Pull_Through
38,Band Hip Adductions,pull,beginner,isolation,bands,adductors,,"Jangkar band di sekitar tiang solid atau objek lain., Berdiri dengan sisi kiri Anda ke pos, dan letakkan kaki kanan Anda melalui band, Menghidupkan pergelangan kaki., Berdiri tegak dan pegang pos jika diperlukan. Ini akan menjadi posisi awal Anda., Menjaga lutut tetap lurus, Angkat kaki kanan Anda ke samping sejauh yang Anda bisa., Kembali ke posisi awal dan ulangi untuk jumlah rep yang diinginkan., Beralih sisi.",strength,"0.jpg, 1.jpg",Band_Hip_Adductions
39,Band Pull Apart,pull,beginner,isolation,bands,shoulders,"middle back, traps","Mulailah dengan lengan Anda terentang lurus di depan Anda, memegang band dengan kedua tangan., Memulai gerakan dengan melakukan gerakan lalat terbalik, menggerakkan tangan Anda ke luar ke sisi Anda., Jaga agar siku Anda diperpanjang saat Anda melakukan gerakan, Membawa band ke dada Anda. Pastikan Anda menjaga bahu Anda kembali selama latihan., Berhentilah saat Anda menyelesaikan gerakan, kembali ke posisi awal di bawah kendali.",strength,"0.jpg, 1.jpg",Band_Pull_Apart
40,Band Skull Crusher,push,beginner,isolation,bands,triceps,,"Amankan pita ke pangkal rak atau bangku. Letakkan di bangku sehingga band ini berbaris dengan kepala., Menguasai, Mengangkat siku Anda sehingga lengan atas tegak lurus ke lantai. Dengan siku tertekuk, Band harus di atas kepala Anda. Ini akan menjadi posisi awal Anda., Perpanjang melalui siku untuk meluruskan lengan Anda, Menjaga lengan atas Anda tetap di tempatnya. Berhentilah di bagian atas gerakan, dan kembali ke posisi awal.",strength,"0.jpg, 1.jpg",Band_Skull_Crusher
41,Barbell Ab Rollout,pull,intermediate,compound,barbell,abdominals,"lower back, shoulders","Untuk latihan ini, Anda perlu masuk ke posisi pushup, Tapi alih -alih memegang tangan lantai, Anda akan meraih ke barbel Olimpiade (dimuat dengan 5-10 lbs di setiap sisi) sebagai gantinya. Ini akan menjadi posisi awal Anda., ""Sambil menjaga sedikit lengkungan di punggung Anda, Angkat pinggul Anda dan gulung barbel ke arah kaki Anda saat Anda menghembuskan napas. Kiat: Saat Anda melakukan gerakan, Glutes Anda harus datang, Anda harus menjaga ketat ABS dan harus mempertahankan postur punggung Anda setiap saat. Lengan Anda juga harus tetap tegak lurus ke lantai sepanjang gerakan. Jika Anda tidak, Anda akan mengerjakan bahu Anda dan kembali lebih dari perut. "", Setelah kontraksi kedua di atas, Mulailah menggulung barbel ke depan ke posisi awal perlahan saat Anda menghirup., Ulangi untuk jumlah pengulangan yang disarankan.",strength,"0.jpg, 1.jpg",Barbell_Ab_Rollout
