ID Program,Nama Program Latihan,Deskripsi Program,Jenis Latihan Program,Tujuan Latihan,Durasi Program (menit),Tempat Program,Peralatan Program (Ya/Tidak),Tingkat Kebugaran Program,Waktu Ideal Program,video_url,Target Gender,Rentang Usia
20,Elevated Feet Push Up,"Elevated Feet Push Up adalah variasi *decline push up* yang lebih menantang, di mana kaki diletakkan pada permukaan yang lebih tinggi seperti kursi atau meja. Ini secara drastis meningkatkan beban pada otot dada bagian atas dan bahu, meniru gerakan *decline bench press*. Lakukan 3 set berisi 10 repetisi, dengan istirahat 90 detik antar set untuk memungkinkan pemulihan otot yang intens.",Kekuatan,Meningkatkan massa otot,30,Rumah,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=uK4817x66cM,Laki-laki,26-35 Tahun
21,Renegade Row Push Up,"Renegade Row Push Up adalah latihan komposit yang menggabungkan push-up dengan gerakan mendayung (row) menggunakan *dumbbell* atau Kettlebell. Setelah melakukan push up, Anda mengangkat satu *dumbbell* ke samping tubuh (gerakan row), kemudian ulangi di sisi lain. Ini melatih dada, bahu, trisep, punggung, dan inti secara bersamaan. Lakukan 3 set berisi 8 repetisi per sisi, dengan istirahat 90 detik antar set.",Kekuatan,Meningkatkan massa otot,35,Rumah,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=B7b5T1cE0sM,Laki-laki,26-35 Tahun
22,Incline Plank to Push Up,"Incline Plank to Push Up adalah latihan dinamis yang dimulai dari posisi plank miring (tangan di permukaan yang lebih tinggi) dan kemudian transisi ke push up. Ini efektif untuk pemula yang ingin membangun kekuatan inti dan secara bertahap membiasakan diri dengan gerakan push up. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,,25,Rumah,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=z81k8f-tT4k,Laki-laki,18-25 Tahun
23,Single Leg Push Up (Assisted),"Single Leg Push Up (Assisted) adalah variasi push-up yang meningkatkan tantangan pada stabilitas inti dan kekuatan unilateral. Salah satu kaki diangkat dari lantai selama gerakan push up, membuat tubuh harus bekerja lebih keras untuk menjaga keseimbangan. Anda bisa menyentuh lantai dengan kaki yang diangkat untuk bantuan. Lakukan 3 set berisi 5 repetisi per kaki, dengan istirahat 90 detik antar set.",Kekuatan,,30,Rumah,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=X-Y0_pYm2gM,Laki-laki,26-35 Tahun
24,Typewriter Push Up,"Typewriter Push Up adalah variasi lanjutan di mana Anda melakukan push up sambil menggeser tubuh secara horizontal dari satu tangan ke tangan lainnya, menjaga satu lengan lurus sepenuhnya. Ini membangun kekuatan eksentrik dan konsentris pada lengan yang bekerja, mempersiapkan Anda untuk *archer push up* dan *one arm push up*. Lakukan 3 set berisi 6 repetisi per sisi, dengan istirahat 2 menit antar set karena intensitasnya.",Kekuatan,Meningkatkan massa otot,35,Rumah,Tidak,Lanjut,Pagi/Sore,https://youtu.be/LMlxLCVKFUs,Laki-laki,26-35 Tahun
25,Weighted Push Up (Backpack),"Weighted Push Up (Backpack) adalah cara efektif untuk meningkatkan intensitas push up standar dengan menambahkan beban tambahan, biasanya dalam bentuk ransel berisi buku atau barang berat lainnya. Ini membantu dalam progresif beban dan membangun massa otot yang lebih besar. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik antar set untuk pemulihan yang memadai.",Kekuatan,Meningkatkan massa otot,30,Rumah,Ya,Menengah,Pagi/Sore,https://youtu.be/8sa2qDm8a6k,Laki-laki,26-35 Tahun
26,Inverted Row (Table/Chair),"Inverted Row, juga dikenal sebagai Australian Pull Up, adalah latihan kekuatan punggung yang sangat baik untuk pemula sebagai alternatif pull-up. Anda berbaring di bawah meja yang kokoh atau menopang tubuh di antara dua kursi kuat, kemudian menarik dada ke arah permukaan tersebut. Ini melatih otot punggung (latissimus dorsi) dan bisep. Lakukan 3 set sebanyak 12 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Rumah,Ya,Pemula,Pagi/Sore,https://youtu.be/DfVqXebqoaw,Laki-laki,18-25 Tahun
27,Door Frame Pull Up (Assisted),"Door Frame Pull Up (Assisted) adalah cara untuk melatih gerakan pull up menggunakan kusen pintu yang kokoh. Anda bisa memegang bagian atas kusen pintu dan menggunakan kaki untuk membantu mendorong tubuh ke atas. Ini adalah langkah awal yang baik untuk membangun kekuatan punggung dan bisep sebelum beralih ke pull-up penuh. Lakukan 3 set berisi 5 repetisi, dengan istirahat 90 detik antar set.",Kekuatan,,30,Rumah,Tidak,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=iO82p0xY06Y,Laki-laki,18-25 Tahun
28,Chair Assisted Pull Up,"Chair Assisted Pull Up adalah variasi yang memungkinkan Anda melakukan pull up dengan bantuan kursi yang ditempatkan di bawah kaki. Kursi ini mengurangi berat badan yang harus Anda tarik, memungkinkan Anda untuk fokus pada form dan membangun kekuatan secara bertahap. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik di antara set.",Kekuatan,Meningkatkan massa otot,30,Rumah,Ya,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=5U64J18r12Q,Laki-laki,18-25 Tahun
29,Resistance Band Pull Up,"Resistance Band Pull Up melibatkan penggunaan *resistance band* yang diikatkan pada *pull up bar* dan melingkari lutut atau kaki Anda. *Band* ini akan memberikan bantuan saat menarik tubuh ke atas, menjadikannya cara yang efektif bagi pemula untuk berlatih pull-up dan bagi yang lebih mahir untuk meningkatkan volume latihan. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Rumah,Ya,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=Xw8e05n9sI8,Laki-laki,18-25 Tahun
30,Negative Pull Up,"Negative Pull Up adalah latihan yang sangat efektif untuk membangun kekuatan yang diperlukan untuk pull-up penuh. Anda melompat ke posisi atas pull-up (dagu di atas bar) dan kemudian secara perlahan menurunkan tubuh ke bawah dalam gerakan terkontrol. Fokus pada fase eksentrik (menurun) ini akan membangun kekuatan dan kontrol otot. Lakukan 3 set berisi 5 repetisi, dengan istirahat 2 menit antar set karena sifatnya yang intens.",Kekuatan,Meningkatkan massa otot,30,Rumah,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=Lq1t8aQJ68s,Laki-laki,26-35 Tahun
31,Chin Up (Narrow Grip),"Chin Up dilakukan dengan genggaman *supinated* (telapak tangan menghadap ke arah Anda) yang sedikit lebih sempit dari lebar bahu. Variasi ini lebih menekankan otot bisep dan punggung bagian bawah dibandingkan pull-up standar. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik di antara set untuk pemulihan yang baik.",Kekuatan,Meningkatkan massa otot,30,Rumah,Ya,Menengah,Pagi/Sore,https://youtu.be/K0KcnKEnsQQ,Semua Gender,18-35 Tahun
32,Standard Pull Up,"Standard Pull Up adalah latihan kekuatan tubuh bagian atas yang paling ikonik, menargetkan otot punggung (latissimus dorsi), bisep, dan bahu. Ini dilakukan dengan genggaman *pronated* (telapak tangan menjauh dari Anda) selebar bahu. Bertujuan untuk melakukan 3 set sebanyak mungkin repetisi (AMRAP) dengan form yang baik, dengan istirahat 2 menit di antara set untuk pemulihan maksimal.",Kekuatan,Meningkatkan massa otot,30,Rumah,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=eW4sYpQc_j8,Laki-laki,26-35 Tahun
33,Wide Grip Pull Up,"Wide Grip Pull Up dilakukan dengan genggaman *pronated* yang jauh lebih lebar dari lebar bahu. Variasi ini secara signifikan meningkatkan penekanan pada otot latissimus dorsi (punggung lebar), membantu membangun tampilan punggung yang lebih lebar dan V-taper. Lakukan 3 set sebanyak mungkin repetisi (AMRAP) dengan form yang baik, dengan istirahat 2 menit di antara set.",Kekuatan,Meningkatkan massa otot,30,Rumah,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=T_sIugq9W4U,Laki-laki,26-35 Tahun
34,Commando Pull Up,"Commando Pull Up adalah variasi menantang di mana Anda memegang bar dengan kedua tangan pada satu sisi dan menarik tubuh ke atas secara diagonal, bergantian sisi di setiap repetisi. Latihan ini meningkatkan kekuatan genggaman, stabilitas inti, dan kekuatan unilateral pada punggung dan bisep. Lakukan 3 set berisi 6 repetisi per sisi, dengan istirahat 90 detik antar set.",Kekuatan,,30,Rumah,Ya,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=0kFj2mQy8sE,Laki-laki,26-35 Tahun
35,Typewriter Pull Up,"Typewriter Pull Up adalah latihan lanjutan yang mirip dengan *typewriter push up*. Anda melakukan pull up, lalu menggeser tubuh secara horizontal dari satu tangan ke tangan lainnya sambil menjaga satu lengan lurus. Ini sangat efektif untuk membangun kekuatan eksentrik dan konsentris pada satu sisi punggung dan bisep, mempersiapkan untuk *one arm pull up*. Lakukan 3 set berisi 4 repetisi per sisi, dengan istirahat 2 menit antar set karena intensitasnya.",Kekuatan,Meningkatkan massa otot,35,Rumah,Ya,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=B9J-FjQjW5Y,Laki-laki,26-35 Tahun
36,Archer Pull Up,"Archer Pull Up adalah variasi pull-up lanjutan di mana satu tangan memegang bar dengan erat, sementara tangan lainnya lurus ke samping (jari menyentuh bar atau udara). Ini secara signifikan meningkatkan beban pada lengan yang menekuk, membangun kekuatan unilateral yang ekstrem pada punggung dan bisep, merupakan progres penting menuju *one arm pull up*. Lakukan 3 set berisi 3 repetisi per sisi, dengan istirahat 2 menit antar set.",Kekuatan,Meningkatkan massa otot,35,Rumah,Ya,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=5U64J18r12Q,Laki-laki,26-35 Tahun
38,Muscle Up Progression (False Grip),"Muscle Up Progression (False Grip) adalah serangkaian latihan yang bertujuan untuk membantu Anda mencapai *muscle up* penuh, sebuah gerakan yang menggabungkan pull-up dan dip menjadi satu gerakan mulus. Penggunaan *false grip* (pergelangan tangan di atas bar) adalah kunci untuk transisi. Lakukan 3 set berisi 3 repetisi dari progresi yang Anda kuasai, dengan istirahat 2 menit antar set.",Kekuatan,Meningkatkan massa otot,40,Rumah,Ya,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=Fj-y5-U4mQc,Laki-laki,26-35 Tahun
39,Australian Pull Up (Under Table),"Australian Pull Up adalah latihan kekuatan punggung dan bisep yang bisa dilakukan di rumah menggunakan meja yang kokoh. Anda berbaring di bawah meja, memegang tepiannya, dan menarik dada ke arah meja. Ini adalah alternatif yang bagus untuk pull-up standar, terutama untuk pemula. Lakukan 3 set berisi 12 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Rumah,Ya,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=l_H8M4D_a5U,Laki-laki,18-25 Tahun
40,Pull Up Hold (Top Position),"Pull Up Hold (Top Position) adalah latihan isometrik di mana Anda menahan diri di posisi paling atas dari pull-up, dengan dagu di atas bar dan bahu tertarik ke bawah. Ini secara intens membangun daya tahan otot dan kekuatan isometrik pada punggung dan bisep. Tahan posisi selama 20-30 detik per set, lakukan 3 set secara total.",Kekuatan,Meningkatkan massa otot,20,Rumah,Ya,Menengah,Kapan saja,https://www.youtube.com/watch?v=Gj9qU2sU99U,Laki-laki,26-35 Tahun
41,Pull Up Hold (Mid Position),"Pull Up Hold (Mid Position) adalah latihan isometrik di mana Anda menahan diri di tengah gerakan pull up, dengan siku membentuk sudut 90 derajat. Ini sangat efektif untuk memperkuat titik lemah dalam gerakan pull up dan meningkatkan daya tahan otot. Tahan posisi selama 20-30 detik per set, lakukan 3 set secara total.",Kekuatan,Meningkatkan massa otot,20,Rumah,Ya,Menengah,Kapan saja,https://www.youtube.com/watch?v=Gj9qU2sU99U,Laki-laki,26-35 Tahun
42,Scapular Pull Up,"Scapular Pull Up adalah latihan isolasi yang berfokus pada gerakan skapula (tulang belikat) tanpa menekuk siku secara signifikan. Anda bergantung pada bar dan menarik tubuh sedikit ke atas hanya dengan menarik tulang belikat ke bawah. Ini penting untuk meningkatkan kesadaran tubuh dan memperkuat otot-otot di sekitar skapula, yang krusial untuk pull-up yang lebih efisien dan mencegah cedera. Lakukan 3 set berisi 10 repetisi, dengan istirahat 45 detik antar set.",Kekuatan,Menjaga kesehatan,20,Rumah,Ya,Pemula,Kapan saja,https://www.youtube.com/watch?v=X8T-W8088r0,Laki-laki,18-25 Tahun
43,Resistance Band Assisted Chin Up,"Resistance Band Assisted Chin Up menggunakan *resistance band* yang diikat pada *pull up bar* untuk membantu gerakan chin up. Sama seperti pull up dibantu band, ini mengurangi sebagian beban tubuh Anda, memungkinkan Anda fokus pada teknik dan meningkatkan volume repetisi chin up. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Rumah,Ya,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=rW3fGf_gS3Y,Laki-laki,18-25 Tahun
44,Weighted Chin Up,"Weighted Chin Up adalah variasi chin up yang lebih menantang dengan menambahkan beban tambahan, biasanya dengan menggunakan rompi beban atau *dumbbell* yang diapit di antara kaki. Ini adalah cara yang sangat efektif untuk meningkatkan kekuatan dan massa otot pada bisep dan punggung. Lakukan 3 set berisi 5 repetisi, dengan istirahat 90 detik antar set untuk pemulihan yang memadai.",Kekuatan,Meningkatkan massa otot,30,Rumah,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=v0K8C6mQ06U,Laki-laki,26-35 Tahun
46,Leg Assisted Pull Up,"Leg Assisted Pull Up adalah variasi pull up di mana Anda menggunakan kaki untuk membantu mendorong tubuh ke atas. Ini dapat dilakukan dengan menempatkan kaki di atas bangku, kursi, atau bahkan dengan sedikit melompat dari lantai. Bantuan dari kaki memungkinkan Anda untuk melakukan lebih banyak repetisi dan membangun kekuatan secara bertahap. Lakukan 3 set berisi 8 repetisi, dengan istirahat 90 detik di antara set.",Kekuatan,Meningkatkan massa otot,30,Rumah,Ya,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=kYvM-xSYqQ0,Laki-laki,18-25 Tahun
47,Slow Negative Chin Up,"Slow Negative Chin Up adalah latihan yang sangat efektif untuk membangun kekuatan chin up dengan fokus pada fase eksentrik (menurun). Anda melompat ke posisi atas chin up dan kemudian secara perlahan menurunkan tubuh Anda dalam waktu 3-5 detik. Ini meningkatkan kontrol otot dan daya tahan. Lakukan 3 set berisi 5 repetisi, dengan istirahat 2 menit antar set karena intensitasnya.",Kekuatan,Meningkatkan massa otot,30,Rumah,Ya,Menengah,Pagi/Sore,https://youtu.be/zC0m3BL5eiA,Semua Gender,26-35 Tahun
48,Towel Pull Up (Assisted),"Towel Pull Up (Assisted) adalah variasi yang meningkatkan kekuatan genggaman secara signifikan. Anda menggantung dua handuk di *pull up bar* dan memegang ujung handuk tersebut untuk menarik tubuh ke atas. Untuk bantuan, Anda bisa menggunakan kaki. Latihan ini juga sangat baik untuk melatih lengan bawah. Lakukan 3 set berisi 6 repetisi, dengan istirahat 90 detik antar set.",Kekuatan,,30,Rumah,Ya,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=4r2mN5qF7tM,Laki-laki,26-35 Tahun
49,One Arm Chin Up (Assisted),"One Arm Chin Up (Assisted) adalah langkah progresif menuju *one arm chin up* penuh. Anda bisa menggunakan satu tangan untuk menarik dan tangan lainnya untuk sedikit membantu dengan memegang pergelangan tangan yang bekerja atau struktur lain. Ini sangat melatih kekuatan unilateral pada bisep dan punggung. Lakukan 3 set berisi 3 repetisi per lengan, dengan istirahat 2 menit antar set.",Kekuatan,Meningkatkan massa otot,35,Rumah,Ya,Lanjut,Pagi/Sore,https://www.youtube.com/watch?v=hG_e7lR00oM,Semua Gender,26-35 Tahun
52,Outdoor Bar Push Up,"Outdoor Bar Push Up dilakukan menggunakan palang rendah atau *parallel bar* yang sering ditemukan di taman kebugaran *outdoor*. Ini memungkinkan variasi *incline* atau *decline push up* tergantung pada ketinggian bar, serta memungkinkan *dips* untuk melatih dada dan trisep lebih intens. Lakukan 3 set berisi 12 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Outdoor,Tidak,Menengah,Pagi/Sore,https://www.youtube.com/watch?v=IODxDxX7oi4,Laki-laki,18-25 Tahun
53,Park Bench Push Up,"Park Bench Push Up memanfaatkan bangku taman sebagai alat untuk *incline* atau *decline push up*. Untuk *incline*, letakkan tangan di bangku; untuk *decline*, letakkan kaki di bangku. Ini adalah cara praktis untuk menyesuaikan kesulitan push up di lingkungan *outdoor*. Lakukan 3 set berisi 10 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Meningkatkan massa otot,25,Outdoor,Tidak,Pemula,Pagi/Sore,https://www.youtube.com/watch?v=uK4817x66cM,Laki-laki,18-25 Tahun
54,Stair Push Up,"Stair Push Up menggunakan anak tangga untuk menyesuaikan tingkat kesulitan push up. Semakin tinggi anak tangga yang Anda gunakan untuk tangan, semakin mudah latihannya (mirip *incline push up*). Ini adalah cara yang bagus untuk progresif secara bertahap di lingkungan *outdoor*. Lakukan 3 set berisi 10-15 repetisi, dengan istirahat 60 detik antar set.",Kekuatan,Menjaga kesehatan,25,Outdoor,Tidak,Pemula,Kapan saja,https://www.youtube.com/watch?v=z81k8f-tT4k,Laki-laki,18-25 Tahun
